Athlete,Profile Link 1,Profile Link 2,event,time,,,,position,,,,venue,meeting,date,venue-link,category
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,5KL,19:25,,,,93,,,,Douglas,Isle of Man Easter Festival 5K Relay,20 Apr 14,http://powerof10.info/results/results.aspx?meetingid=103184&event=5KL&venue=Douglas&date=20-Apr-14,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,4MMT,25:18,,,,70,,,,Peel,Isle of Man Easter Festival Peel Hill,19 Apr 14,http://powerof10.info/results/results.aspx?meetingid=103177&event=4MMT&venue=Peel&date=19-Apr-14,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,5.8ML,35:24,,,,26,L2,,,Livingstone,Scottish Relay Championships,30 Mar 14,http://powerof10.info/results/results.aspx?meetingid=93704&event=5.8ML&venue=Livingstone&date=30-Mar-14,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,10K,36:22,,,,60,,,,Port Erin,Isle of Man Easter Festival 10K,18 Apr 14,http://powerof10.info/results/results.aspx?meetingid=103175&event=10K&venue=Port+Erin&date=18-Apr-14,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,12KXC,48:19,,,,195,,,,Falkirk,Scottish National Championships,22 Feb 14,http://powerof10.info/results/results.aspx?meetingid=93665&event=12KXC&venue=Falkirk&date=22-Feb-14,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,34:08,,,,57,,,,Stirling University,Scottish East District League,18 Oct 14,http://powerof10.info/results/results.aspx?meetingid=118198&event=ZXC&venue=Stirling+University&date=18-Oct-14,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,36:28,,,,79,,,,Broxburn,Scottish East District League,18 Jan 14,http://powerof10.info/results/results.aspx?meetingid=92990&event=ZXC&venue=Broxburn&date=18-Jan-14,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,36:55,,,,73,,,,Alloa,Scottish East District League,22 Nov 14,http://powerof10.info/results/results.aspx?meetingid=120056&event=ZXC&venue=Alloa&date=22-Nov-14,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXCL,15:42,,,,39,L2,,,Cumbernauld,Scottish National Relay Championships,25 Oct 14,http://powerof10.info/results/results.aspx?meetingid=118184&event=ZXCL&venue=Cumbernauld&date=25-Oct-14,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZFL,2:07:35,,,,50,,,,Edinburgh,Seven Hills of Edinburgh,22 Jun 14,http://powerof10.info/results/results.aspx?meetingid=107920&event=ZFL&venue=Edinburgh&date=22-Jun-14,SEN
